,자치구,meanscore_voucher,rand_voucher,meanscore_minEnergy,rank_minEnergy,meanscore_ratio,rank_ratio,합산점수,합산점수(30),percent
0,강남구,3.25,9,4.875,2.0,1.0,1.0,9.125,9.125,30.416666666666664
1,강동구,2.333333333333333,14,7.520833333333333,13.0,2.1875,15.0,12.041666666666666,12.041666666666666,40.138888888888886
2,강북구,4.5,5,8.6875,22.0,4.75,24.0,17.9375,17.9375,59.791666666666664
3,강서구,6.9375,2,5.458333333333333,3.0,1.3541666666666667,12.0,13.749999999999998,13.749999999999998,45.83333333333333
4,관악구,4.020833333333333,6,6.583333333333333,6.0,3.4375,20.0,14.041666666666666,14.041666666666666,46.80555555555556
5,광진구,1.3125,21,8.104166666666666,17.0,2.5,17.0,11.916666666666666,11.916666666666666,39.72222222222222
6,구로구,2.3125,15,7.395833333333333,10.0,1.3333333333333333,11.0,11.041666666666666,11.041666666666666,36.80555555555555
7,금천구,2.3125,16,9.5,23.0,1.0,2.0,12.8125,12.8125,42.70833333333333
8,노원구,8.0625,1,6.479166666666667,5.0,3.5,21.0,18.041666666666668,18.041666666666668,60.1388888888889
9,도봉구,2.4375,11,8.541666666666666,20.0,4.395833333333333,23.0,15.375,15.375,51.24999999999999
10,동대문구,3.5,7,7.8125,15.0,2.1666666666666665,14.0,13.479166666666666,13.479166666666666,44.93055555555555
11,동작구,2.3541666666666665,13,7.8125,16.0,2.3125,16.0,12.479166666666666,12.479166666666666,41.59722222222222
12,마포구,2.2291666666666665,19,7.416666666666667,12.0,1.0625,8.0,10.708333333333334,10.708333333333334,35.69444444444444
13,서대문구,2.3125,17,8.479166666666666,18.0,2.0,13.0,12.791666666666666,12.791666666666666,42.638888888888886
14,서초구,1.0,23,6.416666666666667,4.0,1.0208333333333333,7.0,8.4375,8.4375,28.125
15,성동구,1.4583333333333333,20,8.520833333333334,19.0,1.0625,9.0,11.041666666666668,11.041666666666668,36.80555555555556
16,성북구,3.395833333333333,8,7.1875,9.0,3.1875,19.0,13.770833333333332,13.770833333333332,45.90277777777778
17,송파구,2.4375,12,4.770833333333333,1.0,1.1458333333333333,10.0,8.354166666666666,8.354166666666666,27.847222222222218
18,양천구,2.645833333333333,10,6.770833333333333,7.0,3.1666666666666665,18.0,12.583333333333332,12.583333333333332,41.94444444444444
19,영등포구,2.2916666666666665,18,7.395833333333333,11.0,1.0,3.0,10.6875,10.6875,35.625
20,용산구,1.3125,22,8.666666666666666,21.0,1.0,4.0,10.979166666666666,10.979166666666666,36.59722222222222
21,은평구,5.541666666666668,3,6.9375,8.0,4.979166666666667,25.0,17.458333333333336,17.458333333333336,58.19444444444445
22,종로구,1.0,24,9.916666666666666,24.0,1.0,5.0,11.916666666666666,11.916666666666666,39.72222222222222
23,중구,1.0,25,9.979166666666666,25.0,1.0,6.0,11.979166666666666,11.979166666666666,39.93055555555555
24,중랑구,4.666666666666667,4,7.708333333333333,14.0,3.9166666666666665,22.0,16.291666666666668,16.291666666666668,54.305555555555564
